foot,foot,n.脚；足
foreign,foreign,adj.外国的
forest,forest,n.森林
forward,forward,adv.面向未来的；向前
free,free,adj.（时间）空闲的；空余的
French,French,adj.法国的；法语的
French,French,n.法国人；法语
fresh,fresh,adj.新鲜的
friendly,friendly,adj.友好的
from,from,prep.从……出发
fun,fun,n.娱乐；乐趣
future,future,n.将来；未来
game,game,n.运动项目
garden,garden,n.花园
German,German,n.德国人；德语
German,German,adj.德国的；德国人的；德语的
glove,glove,n.手套
gold,gold,n.金色；黄金；金牌
good,good,adj.乖的；守规矩的
guess,guess,v.猜；猜测
guidebook,guidebook,n.导游手册；旅行指南
hair,hair,n.头发
head,head,n.头；头部
heavy,heavy,adj.繁重的；沉的
hers,hers,pron.她的
hey,hey,int.嘿；喂
high,high,adj.高的
hmm,hmm,int.嗯
hold (held),hold (held),v.握着；使不动
hope,hope,v.希望
horse,horse,n.马
hour,hour,n.小时
housework,housework,n.家务劳动
hug,hug,v.拥抱；紧抱
hundred,hundred,num.百
hungry,hungry,adj.感到饿的；饥饿的
India,India,印度
into,into,prep.进入……里面
jam,jam,n.堵塞；拥挤
Japanese,Japanese,n.日本人；日语
Japanese,Japanese,adj.日本的；日语的；日本人的
July,July,n.7月
jump,jump,v.跳
June,June,n.6月
just,just,adv.就；正好
kiss,kiss,v.吻；亲吻
kiss,kiss,n.吻；亲吻
kite,kite,n.风筝
knee,knee,n.膝盖
knock,knock,v.敲
lake,lake,n.湖
land,land,n.陆地
language,language,n.语言
last,last,adj.（星期、月份等）最近过去的，紧接现在前面的
late,late,adv.迟；晚
late,late,adj.迟的；晚的
later,later,adv.后来；以后
leave (left),leave (left),v.丢下；遗忘
leg,leg,n.腿
lemon,lemon,n.柠檬
level,level,n.水平
life,life,n.生活；生命
light,light,adj.轻的；轻松的；少量的
light,light,n.电灯
litter,litter,n.垃圾
little,little,adj.小的
lively,lively,adj.活泼的；轻快的
long,long,adj.长的；长时间的
look,look,v.看起来；显得
lose (lost),lose (lost),v.失去
lost,lost,adj.迷路的
machine,machine,n.机器
Maori,Maori,adj.毛利人的
March,March,n.3月
market,market,n.市场
marry,marry,v.结婚
May,May,n.5月
may (might),may (might),v.aux.可以；可能
maybe,maybe,adv.也许
metre (Am E meter),metre (Am E meter),n.米
middle,middle,adj.中等的；中部的
middle,middle,n.中部；中间
mine,mine,pron.我的
modern,modern,adj.现代的
